name,era,region,start_disposition,belief_path,end_state,weight,drivers,pattern_tags,summary
The Unreached (antiquity),1st-3rd c.,GLOBAL,low,Unexposed -> Unexposed,Unaffiliated,100,"[""family""]","[""dark warp""]",Most of humanity in antiquity never hears the gospel; the dark warp behind the light.
The Unreached (medieval),Medieval,GLOBAL,low,Unexposed -> Unexposed,Unaffiliated,100,"[""family""]","[""dark warp""]","Beyond Christendom's edges, the field stays dark for a thousand years."
The Unreached (early modern),Early Modern,GLOBAL,low,Unexposed -> Unexposed,Unaffiliated,92,"[""family""]","[""dark warp""]",Asia and the interior remain largely unreached before the missionary century.
Born after the conquest (MENA),Medieval,Middle East & North Africa,low,Unexposed -> Unexposed,Unaffiliated,82,"[""institution/state"", ""family""]","[""dark warp""]",After the 7th-c. conquests the Christian East becomes a shrinking minority.
Confucian-Buddhist world (Asia),20th c.,East Asia,low,Unexposed -> Unexposed,Unaffiliated,88,"[""family"", ""secular culture""]","[""dark warp""]","Even amid modern missions, most of East Asia remains unreached."
Hindu world (South Asia),20th c.,South Asia,low,Unexposed -> Unexposed,Unaffiliated,85,"[""family""]","[""dark warp""]",Christianity stays a small minority across the subcontinent.
Apostolic convert,1st-3rd c.,Roman/Mediterranean,high,Unexposed -> Affiliated -> Practicing,Practicing,8,"[""missionary contact"", ""conversion experience"", ""social ties""]","[""convert"", ""steady faith""]","Hears an apostle or a neighbor, believes, and is baptized."
Martyr of the persecutions,1st-3rd c.,Roman/Mediterranean,high,Practicing -> Martyred,Martyred,3,"[""persecution"", ""martyrdom witness""]","[""martyr"", ""persecuted-faithful""]",Refuses to recant; the blood of the martyrs becomes seed.
House-church matron,1st-3rd c.,Roman/Mediterranean,high,Affiliated -> Practicing,Practicing,5,"[""family"", ""social ties""]","[""steady faith""]",Keeps a household church; the quiet backbone of the early church.
Constantinian nominal,4th-6th c.,Roman/Mediterranean,medium,Unexposed -> Affiliated -> Nominal,Nominal,18,"[""institution/state"", ""prosperity""]","[""nominal inheritance"", ""convert""]",Joins when the faith becomes respectable; belief stays a label.
Desert ascetic,4th-6th c.,Middle East & North Africa,high,Affiliated -> Practicing,Practicing,4,"[""mysticism"", ""conversion experience""]","[""steady faith""]",Flees to the desert to seek God wholly.
Barbarian baptized with the king,4th-6th c.,Western Europe,low,Unexposed -> Affiliated -> Nominal,Nominal,16,"[""institution/state"", ""family""]","[""nominal inheritance""]",Converted top-down when the chieftain is baptized.
Monastic copyist,Medieval,Western Europe,high,Affiliated -> Practicing,Practicing,6,"[""institution/state"", ""scripture/translation""]","[""steady faith""]",Carries faith and letters through the dark centuries.
Medieval peasant believer,Medieval,Western Europe,medium,Affiliated -> Practicing -> Nominal,Nominal,26,"[""family"", ""institution/state""]","[""nominal inheritance"", ""steady faith""]","Born into Christendom; devout in form, ordinary in fervor."
Orthodox faithful of the Rus,Medieval,Eastern Europe & Russia,medium,Unexposed -> Affiliated -> Practicing,Practicing,12,"[""institution/state"", ""family"", ""mysticism""]","[""convert"", ""steady faith""]",Baptized with the Rus; Orthodoxy becomes the soul of a people.
Thomas Christian of Malabar,Medieval,South Asia,high,Affiliated -> Practicing,Practicing,4,"[""family"", ""displacement/migration""]","[""steady faith"", ""diaspora""]",An ancient church surviving on the Indian coast.
Reformation lay reader,Reformation,Western Europe,high,Nominal -> Practicing,Practicing,9,"[""scripture/translation"", ""revival"", ""intellectual doubt""]","[""revival-swept"", ""convert""]",Reads Scripture in the vernacular and finds living faith.
Recusant martyr,Reformation,Western Europe,high,Practicing -> Martyred,Martyred,2,"[""persecution"", ""martyrdom witness""]","[""martyr"", ""persecuted-faithful""]",Dies for confession in an age of religious war.
New World mission convert,Early Modern,Latin America,medium,Unexposed -> Affiliated -> Nominal,Nominal,22,"[""missionary contact"", ""institution/state""]","[""convert"", ""nominal inheritance""]",Baptized en masse under colonial mission; faith folk and inherited.
Hidden Christian (Japan),Early Modern,East Asia,high,Practicing -> Practicing,Practicing,3,"[""persecution"", ""family"", ""social ties""]","[""underground"", ""persecuted-faithful""]",Keeps the faith in secret across generations of persecution.
Pietist of the awakening,Early Modern,Western Europe,high,Nominal -> Practicing,Practicing,7,"[""revival"", ""social ties""]","[""revival-swept"", ""convert""]",Heart-religion rekindled in small renewal societies.
Great-Awakening convert,Early Modern,North America,high,Nominal -> Practicing,Practicing,11,"[""revival"", ""conversion experience""]","[""revival-swept"", ""convert""]",Swept up in the colonial revivals.
Mission-school pupil (Africa),19th c.,Sub-Saharan Africa,medium,Unexposed -> Affiliated -> Practicing,Practicing,15,"[""missionary contact"", ""scripture/translation""]","[""convert""]",Learns to read Scripture at a mission school and believes.
Slave-convert of the diaspora,19th c.,North America,high,Unexposed -> Affiliated -> Practicing,Practicing,9,"[""displacement/migration"", ""revival"", ""social ties""]","[""convert"", ""diaspora"", ""steady faith""]",Finds in the gospel both hope and a community in bondage.
First reader of a new translation,19th c.,Sub-Saharan Africa,high,Unexposed -> Affiliated -> Practicing,Practicing,7,"[""scripture/translation"", ""missionary contact""]","[""convert""]",The Bible arrives in the mother tongue; the church takes root.
Colonial nominal Christian,19th c.,Sub-Saharan Africa,low,Unexposed -> Affiliated -> Nominal,Nominal,16,"[""institution/state"", ""prosperity""]","[""nominal inheritance""]",Adopts the colonizer's religion as a label.
Pentecostal of Azusa,20th c.,North America,high,Nominal -> Practicing,Practicing,9,"[""revival"", ""conversion experience"", ""social ties""]","[""revival-swept"", ""convert""]",Touched by the Pentecostal outpouring.
East African revivalist,20th c.,Sub-Saharan Africa,high,Nominal -> Practicing,Practicing,18,"[""revival"", ""social ties""]","[""revival-swept""]",Confession and song turn a mission church into living faith.
Base-community Catholic,20th c.,Latin America,medium,Nominal -> Practicing,Practicing,20,"[""social ties"", ""institution/state""]","[""steady faith"", ""nominal inheritance""]",Faith deepened in small grassroots communities.
Soviet secret believer (Lyudmila),20th c.,Eastern Europe & Russia,medium,Affiliated -> Lapsed -> Unaffiliated -> Practicing,Practicing,6,"[""persecution"", ""family"", ""social ties"", ""mysticism""]","[""returned"", ""frayed/declining"", ""persecuted-faithful""]","Raised under atheism, lapses, then returns late through believing ties — the Lyudmila arc."
Soviet atheist (lost faith),20th c.,Eastern Europe & Russia,low,Affiliated -> Lapsed -> Unaffiliated,Unaffiliated,42,"[""institution/state"", ""secular culture""]","[""secularized"", ""lapsed"", ""dark warp""]",State atheism severs an inherited faith.
Chinese house-church believer,20th c.,East Asia,high,Unexposed -> Affiliated -> Practicing,Practicing,11,"[""social ties"", ""missionary contact""]","[""underground"", ""convert"", ""revival-swept""]",Comes to faith in a hidden church and stays despite pressure.
Korean megachurch convert,20th c.,East Asia,high,Unexposed -> Affiliated -> Practicing,Practicing,8,"[""revival"", ""social ties"", ""prosperity""]","[""convert"", ""revival-swept""]",Part of Korea's rapid 20th-c. growth.
Western nominal who drifts,20th c.,Western Europe,low,Practicing -> Nominal -> Lapsed,Lapsed,38,"[""secular culture"", ""family""]","[""frayed/declining"", ""secularized"", ""lapsed""]",Inherited faith quietly thins to nothing.
Post-Christian seeker who returns,21st c.,North America,medium,Lapsed -> Unaffiliated -> Practicing,Practicing,6,"[""personal crisis"", ""social ties"", ""conversion experience""]","[""returned"", ""convert""]","After drifting, comes home through a crisis and a friend."
