Name,Modern Definition,Boundary Notes
Roman/Mediterranean,"The classical Mediterranean world of the Roman Empire: Italy, Greece, Anatolia, the Levant, Egypt and Roman North Africa.","Antiquity-only category. Before ~640 AD the Levant/Egypt/N.-Africa Christians are counted HERE, not under Middle East & North Africa (double-count rule)."
Western Europe,"Latin/Western Christendom: British Isles, France, Iberia, Italy, the Low Countries, German-speaking lands, Scandinavia.",Apportioned split from the source's combined 'Europe' (confidence Low).
Eastern Europe & Russia,"Byzantine and Slavic Orthodox world: the Balkans, Greece, Russia, Ukraine, Belarus and the eastern Slavic lands.",Apportioned split from the source's combined 'Europe' (confidence Low).
Middle East & North Africa,"Modern MENA: the Arabian peninsula, the Levant, Mesopotamia, Iran, Egypt and the Maghreb.",Independent series intentionally STARTS at year 1000 to avoid double-counting with Roman/Mediterranean in antiquity.
Sub-Saharan Africa,"Africa south of the Sahara, including the Horn and southern Africa.",Ethiopian/Nubian Christianity predates 1900 but the series is anchored from 1900 where data is firm.
South Asia,"The Indian subcontinent: India, Pakistan, Bangladesh, Sri Lanka, Nepal.",Includes the ancient Thomas-Christian communities of Kerala.
East Asia,"China, Japan, Korea, Mongolia and Taiwan.",Anchored at 1900 and 2025; intermediate cells deferred to Phase 2.
Southeast Asia,"Mainland and maritime SE Asia: Indochina, Thailand, Myanmar, the Philippines, Indonesia, Malaysia.",The Philippines dominates the Christian share.
Latin America,"Mexico, Central America, the Caribbean and South America.",Series anchored from 1900; mission-era detail (1492-1600) carried by strands.
North America,The United States and Canada.,Series anchored from 1900.
