name,birth_year,death_year,primary_region,role,mechanism_template,regions_affected,effect_window_start,effect_window_end,strength,depth_tier,confidence,sources
Jesus of Nazareth,-4,30,"[""Roman/Mediterranean""]",The origin of the faith,SEED,"[""GLOBAL""]",30,33,5,Tier 1,High,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Simon Peter,1,64,"[""Roman/Mediterranean""]","Apostle, leader of the Twelve",APOSTOLIC_PROPAGATION,"[""Roman/Mediterranean"", ""Western Europe""]",30,64,5,Tier 1,High,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Paul of Tarsus,5,65,"[""Roman/Mediterranean""]",Apostle to the Gentiles,APOSTOLIC_PROPAGATION,"[""Roman/Mediterranean"", ""Western Europe"", ""Eastern Europe & Russia""]",46,65,5,Tier 1,High,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
The Twelve Apostles,,,"[""Roman/Mediterranean"", ""Middle East & North Africa""]",The first missionary band,APOSTOLIC_PROPAGATION,"[""Roman/Mediterranean"", ""Middle East & North Africa"", ""South Asia""]",30,80,4,Tier 1,Medium,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Constantine the Great,272,337,"[""Roman/Mediterranean""]",Emperor who legalized the faith,INSTITUTIONAL,"[""Roman/Mediterranean""]",312,337,5,Tier 1,High,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Athanasius of Alexandria,296,373,"[""Middle East & North Africa""]",Defender of Nicene orthodoxy,THEOLOGICAL,"[""Roman/Mediterranean""]",328,373,4,Tier 1,High,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Augustine of Hippo,354,430,"[""Middle East & North Africa"", ""Roman/Mediterranean""]",Theologian of grace,THEOLOGICAL,"[""Roman/Mediterranean"", ""Western Europe""]",387,430,5,Tier 1,High,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Benedict of Nursia,480,547,"[""Western Europe""]",Father of Western monasticism,INSTITUTIONAL,"[""Western Europe""]",529,547,4,Tier 1,High,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Gregory the Great,540,604,"[""Western Europe""]",Pope who sent missions north,INSTITUTIONAL,"[""Western Europe""]",590,604,4,Tier 1,High,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
Cyril and Methodius,826,885,"[""Eastern Europe & Russia""]",Apostles to the Slavs,TRANSLATION,"[""Eastern Europe & Russia""]",863,885,5,Tier 1,High,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync)
