name,parent_macro_region,branch,lat,lon,distance_km,distance_norm,era_note,notes
Judaea,Roman/Mediterranean,Core,31.78,35.21,1.3,0.01,AD 30 — the seed,"Jerusalem; Christ enters here. x=0, y=0.5."
Galilee,Roman/Mediterranean,Core,32.8,35.5,117.8,0.92,1st c.,Where the first disciples are called.
Antioch,Roman/Mediterranean,Core,36.2,36.16,500.4,3.91,1st c.,Believers first called 'Christians'; mission base.
Cyprus,Roman/Mediterranean,Core,35.0,33.0,413.9,3.23,1st c.,Barnabas & Paul's first journey.
Asia Minor (Ephesus),Roman/Mediterranean,Core,37.94,27.34,992.8,7.75,1st-2nd c.,Pauline & Johannine churches.
Rome,Roman/Mediterranean,West,41.9,12.5,2303.8,17.99,1st c.+,Capital; Peter & Paul. Roman/Mediterranean primary place.
Carthage,Roman/Mediterranean,West,36.85,10.32,2347.9,18.34,2nd-5th c.,"Latin African church: Tertullian, Cyprian, Augustine."
Iberia (Toledo),Western Europe,West,39.86,-4.02,3619.3,28.27,4th c.+,Visigothic & medieval Spain.
Gaul (Lyon),Western Europe,West,45.76,4.83,3032.2,23.68,2nd c.+,Irenaeus; the Frankish church. Western Europe primary place.
Britain (Canterbury),Western Europe,West,51.28,1.08,3523.1,27.52,597+,Augustine of Canterbury; English church.
Ireland (Armagh),Western Europe,West,54.35,-6.65,4133.1,32.28,5th c.,Patrick; insular monasticism.
Germania (Mainz),Western Europe,West,50.0,8.27,3009.7,23.51,8th c.,"Boniface, apostle of the Germans."
Scandinavia (Uppsala),Western Europe,West,59.86,17.64,3383.4,26.43,9th-11th c.,Anskar; late northern conversion.
Wittenberg,Western Europe,West,51.87,12.65,2889.5,22.57,1517,Luther; the Reformation.
Geneva,Western Europe,West,46.2,6.14,2955.7,23.09,16th c.,Calvin's reform.
New England,North America,West,42.36,-71.06,8862.9,69.23,17th c.+,Puritans; the Great Awakenings. North America primary place.
Chesapeake (Virginia),North America,West,37.54,-77.43,9617.1,75.12,17th c.+,Anglican colonial settlement.
West Coast (Los Angeles),North America,West,34.05,-118.24,12186.4,95.19,1906,Azusa Street; modern Pentecostalism.
