Event Name,year,year_sort,regions,description,effect,mechanism,source,source_url
Pentecost,33,33,"[""Roman/Mediterranean"", ""GLOBAL""]",The Spirit falls on the first disciples in Jerusalem; the church is born and the first thousands believe.,Strong+,conversion,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync),https://example.invalid/tapestry-fixture
Neronian Persecution,64,64,"[""Roman/Mediterranean""]","After the Great Fire of Rome, Nero scapegoats and executes Christians; Peter and Paul are traditionally martyred.",Mild-,persecution,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync),https://example.invalid/tapestry-fixture
Destruction of the Second Temple,70,70,"[""Roman/Mediterranean"", ""Middle East & North Africa""]",Rome razes Jerusalem's temple; the church and synagogue decisively part ways.,Mild-,schism,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync),https://example.invalid/tapestry-fixture
Edict of Milan,313,313,"[""Roman/Mediterranean""]","Constantine and Licinius legalize Christianity across the empire, ending state persecution.",Strong+,conversion,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync),https://example.invalid/tapestry-fixture
First Council of Nicaea,325,325,"[""Roman/Mediterranean""]",The first ecumenical council defines the divinity of Christ against Arianism and sets the Nicene Creed.,Mild+,schism,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync),https://example.invalid/tapestry-fixture
Christianity made the state religion,380,380,"[""Roman/Mediterranean""]",Theodosius I's Edict of Thessalonica makes Nicene Christianity the official religion of the empire.,Strong+,conversion,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync),https://example.invalid/tapestry-fixture
Council of Chalcedon,451,451,"[""Roman/Mediterranean"", ""Middle East & North Africa""]",Defines the two natures of Christ; the Oriental Orthodox churches separate over its formula.,Mild-,schism,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync),https://example.invalid/tapestry-fixture
Fall of Western Rome,476,476,"[""Western Europe"", ""Roman/Mediterranean""]",The Western empire collapses; monasteries become the arks that carry literacy and faith through the upheaval.,Neutral,conversion,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync),https://example.invalid/tapestry-fixture
Gregorian mission to England,596,596,"[""Western Europe""]","Gregory the Great sends Augustine of Canterbury to the Anglo-Saxons, beginning England's conversion.",Mild+,conversion,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync),https://example.invalid/tapestry-fixture
Islamic conquests of the Christian East,634–750 (7th–8th c.),700,"[""Middle East & North Africa"", ""Roman/Mediterranean""]","The Levant, Egypt and North Africa pass under Muslim rule; over centuries these heartlands become majority-Muslim.",Strong-,persecution,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync),https://example.invalid/tapestry-fixture
Conversion of Kievan Rus,988,988,"[""Eastern Europe & Russia""]","Vladimir of Kiev is baptized and the Rus adopt Byzantine Christianity, seeding Russian Orthodoxy.",Strong+,conversion,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync),https://example.invalid/tapestry-fixture
Great Schism,1054,1054,"[""Eastern Europe & Russia"", ""Roman/Mediterranean"", ""Western Europe""]",Mutual excommunications formalize the split between the Latin West and the Greek East.,Mild-,schism,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync),https://example.invalid/tapestry-fixture
Fall of Constantinople,1453,1453,"[""Eastern Europe & Russia"", ""Middle East & North Africa""]",The Ottomans take Constantinople; Byzantine Christianity ends as a state and Orthodoxy's center shifts to Moscow.,Mild-,persecution,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync),https://example.invalid/tapestry-fixture
Protestant Reformation,1517,1517,"[""Western Europe""]",Luther's Ninety-five Theses ignite a movement that splits Western Christendom and renews lay devotion.,Mild+,schism,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync),https://example.invalid/tapestry-fixture
Mission to the Americas,1492–1600,1500,"[""Latin America"", ""North America""]",European contact and Catholic missions bring large-scale (and often coerced) conversion across the New World.,Strong+,conversion,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync),https://example.invalid/tapestry-fixture
Vernacular Bible printing,1534–1611,1550,"[""Western Europe""]",Luther's German Bible and the King James Version put Scripture into the hands of ordinary readers.,Strong+,translation,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync),https://example.invalid/tapestry-fixture
Peace of Westphalia,1648,1648,"[""Western Europe""]","Ends the Wars of Religion with a confessional settlement, beginning the long separation of church and state.",Neutral,secularization,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync),https://example.invalid/tapestry-fixture
Great Awakenings,1730–1860,1790,"[""North America"", ""Western Europe""]","Waves of evangelical revival sweep the English-speaking world, reshaping personal faith and reform movements.",Strong+,revival,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync),https://example.invalid/tapestry-fixture
Modern Missionary Movement,1792–1910,1850,"[""Sub-Saharan Africa"", ""South Asia"", ""East Asia"", ""Southeast Asia""]",Protestant and Catholic missions plant churches across Africa and Asia; translation and schools follow.,Strong+,conversion,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync),https://example.invalid/tapestry-fixture
Soviet state atheism,1917–1991,1950,"[""Eastern Europe & Russia""]","The USSR enforces militant atheism — closed churches, imprisoned clergy — yet faith survives underground.",Strong-,persecution,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync),https://example.invalid/tapestry-fixture
Western secularization,1960–present,1980,"[""Western Europe"", ""North America""]","Across the post-war West, affiliation and practice decline sharply as societies grow secular.",Strong-,secularization,SYNTHETIC FIXTURE (schema-faithful placeholder; replaced by Notion sync),https://example.invalid/tapestry-fixture
